Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz_timezone
José Martí International Airport,Havana,Cuba,HAV,MUHA,22.98920059,-82.40910339,210,-5,U,America/Havana
Josefa Camejo International Airport,Paraguana,Venezuela,LSP,SVJC,11.78077507,-70.15149689,75,-4,U,America/Caracas
Joshua Mqabuko Nkomo International Airport,Bulawayo,Zimbabwe,BUQ,FVBU,-20.017401,28.617901,4359,2,U,Africa/Harare
Joslin Field Magic Valley Regional Airport,Twin Falls,United States,TWF,KTWF,42.4818,-114.487999,4154,-7,A,America/Denver
Juan Casiano Airport,Guapi,Colombia,GPI,SKGP,2.57013,-77.8986,164,-5,U,America/Bogota
Juan De Ayolas Airport,Ayolas,Paraguay,AYO,SGAY,-27.370554,-56.854064,223,-4,S,America/Asuncion
Juan Gualberto Gomez International Airport,Varadero,Cuba,VRA,MUVR,23.03440094,-81.43530273,210,-5,U,America/Havana
Juan Manuel Galvez International Airport,Roatan,Honduras,RTB,MHRO,16.316799,-86.523003,39,-6,U,America/Tegucigalpa
Juan Mendoza Airport,Oruro,Bolivia,ORU,SLOR,-17.96260071,-67.07620239,12152,-4,U,America/La_Paz
Juan Pablo Pérez Alfonso Airport,El Vigía,Venezuela,VIG,SVVG,8.624139,-71.672668,250,-4,U,America/Caracas
Juan Santamaria International Airport,San Jose,Costa Rica,SJO,MROC,9.993860245,-84.20880127,3021,-6,U,America/Costa_Rica
Juana Azurduy De Padilla Airport,Sucre,Bolivia,SRE,SLSU,-19.00709915,-65.28869629,9540,-4,U,America/La_Paz
Juancho E. Yrausquin Airport,Saba,Netherlands Antilles,SAB,TNCS,17.64500046,-63.22000122,60,-4,U,America/Curacao
Juanda International Airport,Surabaya,Indonesia,SUB,WARR,-7.379829884,112.7870026,9,7,N,Asia/Jakarta
Juanjui Airport,Juanjui,Peru,JJI,SPJI,-7.169099808,-76.72859955,1148,-5,U,America/Lima
Juba International Airport,Juba,South Sudan,JUB,HSSJ,4.872010231,31.60110092,1513,3,U,Africa/Juba
Jubail Airport,Jubail,Saudi Arabia,QJB,OEJB,27.03899956,49.40510178,26,3,U,Asia/Riyadh
Juist Airport,Juist,Germany,JUI,EDWJ,53.68111038,7.055832863,7,1,E,Europe/Berlin
Julia Creek Airport,Julia Creek,Australia,JCK,YJLC,-20.66830063,141.7230072,404,10,O,Australia/Brisbane
Julius Nyerere International Airport,Dar Es Salaam,Tanzania,DAR,HTDA,-6.87811,39.202599,182,3,U,Africa/Dar_es_Salaam
Jumla Airport,Jumla,Nepal,JUM,VNJL,29.2742,82.193298,7700,5.75,N,Asia/Katmandu
Juneau International Airport,Juneau,United States,JNU,PAJN,58.35499954,-134.576004,21,-9,A,America/Anchorage
Junin Airport,Junin,Argentina,JNI,SAAJ,-34.5459,-60.9306,262,-3,N,America/Buenos_Aires
Juwata Airport,Taraken,Indonesia,TRK,WALR,3.326667,117.569444,23,8,N,Asia/Makassar
Jwaneng Airport,Jwaneng,Botswana,JWA,FBJW,-24.60230064,24.69099998,3900,2,U,Africa/Gaborone
Jyvaskyla Airport,Jyvaskyla,Finland,JYV,EFJY,62.3995018,25.67830086,459,2,E,Europe/Helsinki
K. D. Matanzima Airport,Umtata,South Africa,UTT,FAUT,-31.54636318,28.6733551,2400,2,U,Africa/Johannesburg
Kaadedhdhoo Airport,Kaadedhdhoo,Maldives,KDM,VRMT,0.4881309867,72.99690247,2,5,U,Indian/Maldives
Kabri Dehar Airport,Kabri Dehar,Ethiopia,ABK,HAKD,6.734,44.252998,1800,3,U,Africa/Addis_Ababa
Kadapa Airport,Cuddapah,India,CDP,VOCP,14.51,78.772778,430,5.5,N,Asia/Calcutta
Kadena Air Base,Kadena,Japan,DNA,RODN,26.3556,127.767998,143,9,U,Asia/Tokyo
Kadhdhoo Airport,Laamu Atoll,Maldives,KDO,VRMK,1.85916996,73.52189636,4,5,U,Indian/Maldives
Kadugli Airport,Kadugli,Sudan,KDX,HSLI,11.13799953,29.7010994,1848,3,U,Africa/Khartoum
Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.6960001,7.320109844,2073,1,N,Africa/Lagos
Kaédi Airport,Kaedi,Mauritania,KED,GQNK,16.15950012,-13.50759983,66,0,N,Africa/Nouakchott
Kaghau Airport,Kagau Island,Solomon Islands,KGE,AGKG,-7.3305,157.585,30,11,U,Pacific/Guadalcanal
Kagoshima Airport,Kagoshima,Japan,KOJ,RJFK,31.80340004,130.7189941,906,9,U,Asia/Tokyo
Kahramanmaraş Airport,Kahramanmaras,Turkey,KCM,LTCN,37.53882599,36.95352173,1723,3,E,Europe/Istanbul
Kahului Airport,Kahului,United States,OGG,PHOG,20.8986,-156.429993,54,-10,N,Pacific/Honolulu
Kaieteur International Airport,Kaieteur,Guyana,KAI,PKSA,5.172754765,-59.49148178,1520,-4,U,America/Guyana
Kaikoura Airport,Kaikoura,New Zealand,KBZ,NZKI,-42.42499924,173.6049957,20,12,Z,Pacific/Auckland
Kailashahar Airport,Kailashahar,India,IXH,VEKR,24.30820084,92.00720215,79,5.5,N,Asia/Calcutta
Kaimana Airport,Kaimana,Indonesia,KNG,WASK,-3.644520044,133.6959991,19,9,N,Asia/Jayapura
Kaitaia Airport,Kaitaia,New Zealand,KAT,NZKT,-35.06999969,173.2850037,270,12,Z,Pacific/Auckland
Kajaani Airport,Kajaani,Finland,KAJ,EFKI,64.28549957,27.69239998,483,2,E,Europe/Helsinki
Kakamega Airport,Kakamega,Kenya,GGM,HKKG,0.2713420093,34.78730011,5020,3,U,Africa/Nairobi
Kaklıç Airport,Izmir,Turkey,\N,LTFA,38.51760101,26.97739983,13,3,E,Europe/Istanbul
Kalaleh Airport,Kalaleh,Iran,KLM,OINE,37.38330078,55.45199966,425,3.5,E,Asia/Tehran
Kalamata Airport,Kalamata,Greece,KLX,LGKL,37.06829834,22.02549934,26,2,E,Europe/Athens
Kalamazoo Battle Creek International Airport,Kalamazoo,United States,AZO,KAZO,42.23490143,-85.55210114,874,-5,A,America/New_York
Kalaupapa Airport,Molokai,United States,LUP,PHLU,21.21100044,-156.973999,24,-10,A,Pacific/Honolulu
Kalay Airport,Kalemyo,Myanmar,KMV,VYKL,23.18880081,94.05110168,499,6.5,U,Asia/Rangoon
Kalbarri Airport,Kalbarri,Australia,KAX,YKBR,-27.692813,114.259169,157,8,O,Australia/Perth
Kalemie Airport,Kalemie,Congo (Kinshasa),FMI,FZRF,-5.875559807,29.25,2569,2,U,Africa/Lubumbashi
Kalgoorlie Boulder Airport,Kalgoorlie,Australia,KGI,YPKG,-30.7894001,121.461998,1203,8,O,Australia/Perth
Kalibo International Airport,Kalibo,Philippines,KLO,RPVK,11.67940044,122.3759995,14,8,N,Asia/Manila
Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BEJ,WALK,2.1555,117.431999,59,8,N,Asia/Makassar
Kalixfors Airport,Kalixfors,Sweden,\N,ESUK,67.76480103,20.25720024,1549,1,E,Europe/Stockholm
Kalkgurung Airport,Kalkgurung,Australia,KFG,YKKG,-17.43190002,130.8079987,646,9.5,O,Australia/Darwin
Kalmar Airport,Kalkmar,Sweden,KLR,ESMQ,56.6855011,16.28759956,17,1,E,Europe/Stockholm
Kalskag Airport,Kalskag,United States,KLG,PALG,61.53630066,-160.3410034,55,-9,A,America/Anchorage
Kaltag Airport,Kaltag,United States,KAL,PAKV,64.31909943,-158.7409973,181,-9,A,America/Anchorage
Kalundborg Airport,Kalundborg,Denmark,\N,EKKL,55.70029831,11.25,1,1,E,Europe/Copenhagen
Kalymnos Airport,Kalymnos,Greece,JKL,LGKY,36.9632988,26.94059944,771,2,E,Europe/Athens
Kamembe Airport,Kamembe,Rwanda,KME,HRZA,-2.462239981,28.90789986,5192,2,U,Africa/Kigali
Kamenz Airport,Kamenz,Germany,\N,EDCM,51.29694366,14.12749958,495,1,E,Europe/Berlin
Kamina Base Airport,Kamina Base,Congo (Kinshasa),KMN,FZSA,-8.642020226,25.25289917,3543,2,U,Africa/Lubumbashi
Kamishly Airport,Kamishly,Syria,KAC,OSKL,37.02059937,41.19139862,1480,2,E,Asia/Damascus
Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.70220184,-120.4440002,1133,-8,A,America/Vancouver
Kamphaeng Saen Airport,Nakhon Pathom,Thailand,KDT,VTBK,14.10200024,99.91719818,30,7,U,Asia/Bangkok
Kampong Chhnang Airport,Kompong Chnang,Cambodia,KZC,VDKH,12.25520039,104.564003,56,7,U,Asia/Phnom_Penh
Kananga Airport,Kananga,Congo (Kinshasa),KGA,FZUA,-5.900050163,22.46920013,2139,2,U,Africa/Lubumbashi
Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,31.50580025,65.84780121,3337,4.5,U,Asia/Kabul
Kandla Airport,Kandla,India,IXY,VAKE,23.1127,70.100304,96,5.5,N,Asia/Calcutta
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay,United States,NGF,PHNG,21.45050049,-157.7680054,24,-10,A,Pacific/Honolulu
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122219,-50.71160316,165,-3,E,America/Godthab
Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada,XGR,CYLU,58.71139908,-65.99279785,215,-5,A,America/Toronto
Kangirsuk Airport,Kangirsuk,Canada,YKG,CYAS,60.02719879,-69.99919891,403,-5,A,America/Toronto
Kangra Airport,Kangra,India,DHM,VIGG,32.1651001,76.26339722,2525,5.5,N,Asia/Calcutta
Kankesanturai Airport,Jaffna,Sri Lanka,JAF,VCCJ,9.792329788,80.07009888,33,5.5,U,Asia/Colombo
Kanoya Airport,Kanoya,Japan,\N,RJFY,31.36759949,130.8450012,214,9,U,Asia/Tokyo
Kanpur Airport,Kanpur,India,KNU,VICX,26.404301,80.410103,410,5.5,N,Asia/Calcutta
Kanpur Civil Airport,Kanpur,India,\N,VIKA,26.441401,80.364899,411,5.5,N,Asia/Calcutta
Kansai International Airport,Osaka,Japan,KIX,RJBB,34.4272995,135.2440033,26,9,U,Asia/Tokyo
Kansas City International Airport,Kansas City,United States,MCI,KMCI,39.2976,-94.713898,1026,-6,A,America/Chicago
Kanti Airport,Khamti,Burma,KHM,VYKI,25.98830032,95.67440033,6000,6.5,U,Asia/Rangoon
Kaohsiung International Airport,Kaohsiung,Taiwan,KHH,RCKH,22.57710075,120.3499985,31,8,U,Asia/Taipei
Kaolack Airport,Kaolack,Senegal,KLC,GOOK,14.14690018,-16.05130005,26,0,N,Africa/Dakar
Kapalua Airport,Lahania-kapalua,United States,JHM,PHJH,20.96290016,-156.6730042,256,-10,N,Pacific/Honolulu
Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389847,-82.46749878,743,-5,A,America/Toronto
Karamay Airport,Karamay,China,KRY,ZWKM,45.46655,84.9527,0,8,U,Asia/Shanghai
Kärdla Airport,Kardla,Estonia,KDL,EEKA,58.99079895,22.83069992,18,2,E,Europe/Tallinn
Kariba International Airport,Kariba,Zimbabwe,KAB,FVKB,-16.51980019,28.88500023,1706,2,U,Africa/Harare
Karlovy Vary International Airport,Karlovy Vary,Czech Republic,KLV,LKKV,50.20299911,12.91499996,1989,1,E,Europe/Prague
Karlsborg Air Base,Karlsborg,Sweden,\N,ESIA,58.51380157,14.50710011,308,1,E,Europe/Stockholm
Karlskoga Airport,Karlskoga,Sweden,KSK,ESKK,59.34590149,14.49590015,400,1,E,Europe/Stockholm
Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Germany,FKB,EDSB,48.77939987,8.080499649,408,1,E,Europe/Berlin
Karlstad Airport,Karlstad,Sweden,KSD,ESOK,59.44469833,13.33740044,352,1,E,Europe/Stockholm
Karonga Airport,Karonga,Malawi,KGJ,FWKA,-9.953570366,33.89300156,1765,2,U,Africa/Blantyre
Karpathos Airport,Karpathos,Greece,AOK,LGKP,35.42139816,27.14599991,66,2,E,Europe/Athens
Karratha Airport,Karratha,Australia,KTA,YPKA,-20.71220016,116.7730026,29,8,O,Australia/Perth
Kars Airport,Kars,Turkey,KSY,LTCF,40.56219864,43.11500168,5889,3,E,Europe/Istanbul
Karshi Khanabad Airport,Khanabad,Uzbekistan,KSQ,UTSL,38.83359909,65.92150116,1365,5,U,Asia/Samarkand
Karumba Airport,Karumba,Australia,KRB,YKMB,-17.45669937,140.8300018,5,10,O,Australia/Brisbane
Karup Airport,Karup,Denmark,KRP,EKKA,56.29750061,9.124629974,170,1,E,Europe/Copenhagen
Kasabonika Airport,Kasabonika,Canada,XKS,CYAQ,53.52470016,-88.64279938,672,-5,A,America/Toronto
Kasane Airport,Kasane,Botswana,BBK,FBKE,-17.83289909,25.16239929,3289,2,U,Africa/Gaborone
Kashan Airport,Kashan,Iran,KKS,OIFK,33.895302,51.577,3465,3.5,E,Asia/Tehran
Kashechewan Airport,Kashechewan,Canada,ZKE,CZKE,52.28250122,-81.67780304,35,-5,A,America/Toronto
Kashgar Airport,Kashi,China,KHG,ZWSH,39.54290009,76.01999664,4529,8,U,Asia/Shanghai
Kasiguncu Airport,Poso,Indonesia,PSJ,WAMP,-1.416749954,120.6579971,174,8,N,Asia/Makassar
Kasompe Airport,Kasompe,Zambia,CGJ,FLKE,-12.57279968,27.89389992,4636,2,U,Africa/Lusaka
Kasos Airport,Kasos,Greece,KSJ,LGKS,35.42139816,26.90999985,35,2,E,Europe/Athens
Kassala Airport,Kassala,Sudan,KSL,HSKA,15.38749981,36.3288002,1671,3,U,Africa/Khartoum
Kassel-Calden Airport,Kassel,Germany,KSF,EDVK,51.417273,9.384967,820,1,E,Europe/Berlin
Kasteli Airport,Kasteli,Greece,\N,LGTL,35.192001,25.327,1180,2,E,Europe/Athens
Kastelorizo Airport,Kastelorizo,Greece,KZS,LGKJ,36.14170074,29.57640076,489,2,E,Europe/Athens
Kastner Army Heliport,Zama,Japan,\N,RJTR,35.51380157,139.3939972,360,9,U,Asia/Tokyo
Kastoria National Airport,Kastoria,Greece,KSO,LGKA,40.44630051,21.28219986,2167,2,E,Europe/Athens
Kasungu Airport,Kasungu,Malawi,KBQ,FWKG,-13.0145998,33.46860123,3470,2,U,Africa/Blantyre
Katima Mulilo Airport,Mpacha,Namibia,MPA,FYKM,-17.634399,24.176701,3144,1,S,Africa/Windhoek
Katowice International Airport,Katowice,Poland,KTW,EPKT,50.4743,19.08,995,1,E,Europe/Warsaw
Kaufana Airport,Eua Island,Tonga,EUA,NFTE,-21.37829971,-174.9579926,325,13,U,Pacific/Tongatapu
Kauhajoki Airport,Kauhajoki,Finland,KHJ,EFKJ,62.46250153,22.39310074,407,2,E,Europe/Helsinki
Kauhava Airport,Kauhava,Finland,KAU,EFKA,63.127102,23.051399,151,2,E,Europe/Helsinki
Kaukura Airport,Kaukura Atoll,French Polynesia,KKR,NTGK,-15.66329956,-146.8849945,11,-10,U,Pacific/Tahiti
Kaunas International Airport,Kaunas,Lithuania,KUN,EYKA,54.96390152,24.08480072,256,2,E,Europe/Vilnius
Kavieng Airport,Kavieng,Papua New Guinea,KVG,AYKV,-2.579400063,150.8079987,7,10,U,Pacific/Port_Moresby
Kawthoung Airport,Kawthoung,Burma,KAW,VYKT,10.04930019,98.53800201,180,6.5,U,Asia/Rangoon
Kayes Dag Dag Airport,Kayes,Mali,KYS,GAKY,14.48120022,-11.40439987,164,0,N,Africa/Bamako
Kayseri Erkilet Airport,Kayseri,Turkey,ASR,LTAU,38.770401,35.49539948,3463,3,E,Europe/Istanbul
Kazan International Airport,Kazan,Russia,KZN,UWKD,55.60620117,49.27870178,411,3,N,Europe/Moscow
Kbely Air Base,Praha,Czech Republic,\N,LKKB,50.12139893,14.54360008,939,1,E,Europe/Prague
Kecskemét Airport,Kecskemet,Hungary,\N,LHKE,46.91749954,19.74920082,376,1,E,Europe/Budapest
Kédougou Airport,Kedougou,Senegal,KGG,GOTK,12.57229996,-12.22029972,584,0,N,Africa/Dakar
Keesler Air Force Base,Biloxi,United States,BIX,KBIX,30.41040039,-88.92440033,33,-6,A,America/Chicago
Kefallinia Airport,Keffallinia,Greece,EFL,LGKF,38.12009811,20.50049973,59,2,E,Europe/Athens
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.98500061,-22.60560036,171,0,N,Atlantic/Reykjavik
Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.95610046,-119.3779984,1421,-8,A,America/Vancouver
Kemerovo Airport,Kemorovo,Russia,KEJ,UNEE,55.27009964,86.10720062,863,7,N,Asia/Krasnoyarsk
Kemi-Tornio Airport,Kemi,Finland,KEM,EFKE,65.77870178,24.58209991,61,2,E,Europe/Helsinki
Kemijarvi Airport,Kemijarvi,Finland,\N,EFKM,66.712898,27.156799,692,2,E,Europe/Helsinki
Kempegowda International Airport,Bangalore,India,BLR,VOBL,13.1979,77.706299,3000,5.5,N,Asia/Calcutta
Ken Jones Airport,Port Antonio,Jamaica,POT,MKKJ,18.19879913,-76.53450012,20,-5,U,America/Jamaica
Kenai Municipal Airport,Kenai,United States,ENA,PAEN,60.57310104,-151.2449951,99,-9,A,America/Anchorage
Kendall-Tamiami Executive Airport,Kendall-tamiami,United States,TMB,KTMB,25.64789963,-80.43280029,8,-5,A,America/New_York
Kenema Airport,Kenema,Sierra Leone,KEN,GFKE,7.891290188,-11.17660046,485,0,N,Africa/Freetown
Kengtung Airport,Kengtung,Burma,KET,VYKG,21.3015995,99.63600159,2798,6.5,U,Asia/Rangoon
Kenitra Airport,Kentira,Morocco,NNA,GMMY,34.2989006,-6.595880032,16,0,N,Africa/Casablanca
Kenneth Kaunda International Airport Lusaka,Lusaka,Zambia,LUN,FLLS,-15.33080006,28.45260048,3779,2,U,Africa/Lusaka
Kenora Airport,Kenora,Canada,YQK,CYQK,49.78829956,-94.36309814,1332,-6,A,America/Winnipeg
Kenosha Regional Airport,Kenosha,United States,ENW,KENW,42.59569931,-87.92780304,742,-6,A,America/Chicago
Kent International Airport,Manston,United Kingdom,MSE,EGMH,51.342201,1.34611,178,0,E,Europe/London
Kep Air Base,Kep,Vietnam,\N,VVKP,21.39459991,106.2610016,55,7,U,Asia/Saigon
Kerema Airport,Kerema,Papua New Guinea,KMA,AYKM,-7.963610172,145.7709961,10,10,U,Pacific/Port_Moresby
Kerikeri Airport,Kerikeri,New Zealand,KKE,NZKK,-35.26279831,173.9120026,492,12,Z,Pacific/Auckland
Kerman Airport,Kerman,Iran,KER,OIKK,30.27440071,56.9510994,5741,3.5,E,Asia/Tehran
Kerry Airport,Kerry,Ireland,KIR,EIKY,52.18090057,-9.523779869,112,0,E,Europe/Dublin
Kerteh Airport,Kerteh,Malaysia,KTE,WMKE,4.537220001,103.427002,18,8,N,Asia/Kuala_Lumpur
Keshod Airport,Keshod,India,IXK,VAKS,21.31710052,70.270401,167,5.5,N,Asia/Calcutta
Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,KTG,WIOK,-1.816640019,109.9629974,46,7,N,Asia/Jakarta
Ketchikan International Airport,Ketchikan,United States,KTN,PAKT,55.35559845,-131.7140045,89,-9,A,America/Anchorage
Key Field,Meridian,United States,MEI,KMEI,32.33259964,-88.75189972,297,-6,A,America/Chicago
Key West International Airport,Key West,United States,EYW,KEYW,24.55610085,-81.75959778,3,-5,A,America/New_York
Khabarovsk Airport,Khabarovsk,Russia,\N,UHHT,48.52500153,135.1529999,262,10,N,Asia/Vladivostok
Khabarovsk-Novy Airport,Khabarovsk,Russia,KHV,UHHH,48.52799988,135.1880035,244,10,N,Asia/Vladivostok
Khajuraho Airport,Khajuraho,India,HJR,VAKJ,24.81719971,79.91860199,728,5.5,N,Asia/Calcutta
Khankala Air Base,Grozny,Russia,\N,URMG,43.29809952,45.78409958,548,3,N,Europe/Moscow
Khanty Mansiysk Airport,Khanty-Mansiysk,Russia,HMA,USHH,61.0284996,69.08609772,76,5,N,Asia/Yekaterinburg
Khark Island Airport,Khark Island,Iran,KHK,OIBQ,29.26029968,50.32389832,17,3.5,E,Asia/Tehran
Kharkiv International Airport,Kharkov,Ukraine,HRK,UKHH,49.92480087,36.29000092,508,2,E,Europe/Kiev
Khartoum International Airport,Khartoum,Sudan,KRT,HSSS,15.58950043,32.55319977,1265,3,U,Africa/Khartoum
Khasab Air Base,Khasab,Oman,KHS,OOKB,26.17099953,56.24060059,100,4,U,Asia/Muscat
Khatanga Airport,Khatanga,Russia,HTG,UOHH,71.97810364,102.4909973,95,7,N,Asia/Krasnoyarsk
Khok Kathiam Airport,Lop Buri,Thailand,\N,VTBL,14.87460041,100.663002,123,7,U,Asia/Bangkok
Khon Kaen Airport,Khon Kaen,Thailand,KKC,VTUK,16.46660042,102.7839966,670,7,U,Asia/Bangkok
Khoram Abad Airport,Khorram Abad,Iran,KHD,OICK,33.4353981,48.28290176,3782,3.5,E,Asia/Tehran
Khorat Airport,Nakhon Ratchasima,Thailand,\N,VTUN,14.93449974,102.0790024,729,7,U,Asia/Bangkok
Khoun Khan Airport,Satun,Thailand,\N,VTSA,6.661399841,100.0800018,18,7,U,Asia/Bangkok
Khovd Airport,Khovd,Mongolia,HVD,ZMKD,47.95410156,91.62819672,4898,7,U,Asia/Hovd
Khoy Airport,Khoy,Iran,KHY,OITK,38.42750168,44.97359848,3981,3.5,E,Asia/Tehran
Khrabrovo Airport,Kaliningrad,Russia,KGD,UMKK,54.88999939,20.59259987,42,2,N,Europe/Kaliningrad
Khudzhand Airport,Khudzhand,Tajikistan,LBD,UTDL,40.2154007,69.69470215,1450,5,U,Asia/Dushanbe
Khunan Phumipol Airport,Tak,Thailand,\N,VTPY,17.23419952,99.05789948,492,7,U,Asia/Bangkok
Khuzdar Airport,Khuzdar,Pakistan,KDD,OPKH,27.79059982,66.64730072,4012,5,N,Asia/Karachi
Kiel-Holtenau Airport,Kiel,Germany,KEL,EDHK,54.37944412,10.14527798,102,1,E,Europe/Berlin
Kiev Zhuliany International Airport,Kiev,Ukraine,IEV,UKKK,50.40194,30.45194,587,2,E,Europe/Kiev
Kiffa Airport,Kiffa,Mauritania,KFA,GQNF,16.59000015,-11.40620041,424,0,N,Africa/Nouakchott
Kigali International Airport,Kigali,Rwanda,KGL,HRYR,-1.96863,30.1395,4859,2,U,Africa/Kigali
Kigoma Airport,Kigoma,Tanzania,TKQ,HTKA,-4.8862,29.6709,2700,3,U,Africa/Dar_es_Salaam
Kiikala Airport,Kikala,Finland,\N,EFIK,60.46250153,23.65250015,381,2,E,Europe/Helsinki
Kikori Airport,Kikori,Papua New Guinea,KRI,AYKK,-7.424379826,144.2500763,50,10,U,Pacific/Port_Moresby
Kikwit Airport,Kikwit,Congo (Kinshasa),KKW,FZCA,-5.035769939,18.78560066,1572,1,N,Africa/Kinshasa
Kili Airport,Kili Island,Marshall Islands,KIO,Q51,5.644515,169.119507,5,12,U,Pacific/Majuro
Kilimanjaro International Airport,Kilimanjaro,Tanzania,JRO,HTKJ,-3.429409981,37.07450104,2932,3,U,Africa/Dar_es_Salaam
Kimbe Airport,Hoskins,Papua New Guinea,HKN,AYHK,-5.462170124,150.4049988,66,10,U,Pacific/Port_Moresby
Kimberley Airport,Kimberley,South Africa,KIM,FAKM,-28.80279922,24.76519966,3950,2,U,Africa/Johannesburg
Kimmirut Airport,Kimmirut,Canada,YLC,CYLC,62.84999847,-69.88330078,175,-5,A,America/Toronto
Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.51750183,-109.1809998,2277,-6,N,America/Regina
Kindu Airport,Kindu,Congo (Kinshasa),KND,FZOA,-2.919179916,25.91539955,1630,2,U,Africa/Lubumbashi
King Abdulaziz Air Base,Dhahran,Saudi Arabia,DHA,OEDR,26.26539993,50.15200043,84,3,U,Asia/Riyadh
King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED,OEJN,21.6796,39.156502,48,3,U,Asia/Riyadh
King Cove Airport,King Cove,United States,KVC,PAVC,55.11629868,-162.2660065,155,-9,A,America/Anchorage
King Fahd International Airport,Dammam,Saudi Arabia,DMM,OEDF,26.47120094,49.79790115,72,3,U,Asia/Riyadh
King Faisal Naval Base,Jeddah,Saudi Arabia,\N,OEJF,21.34810066,39.17300034,7,3,U,Asia/Riyadh
King Hussein Air College,Mafraq,Jordan,OMF,OJMF,32.3564,36.259201,2240,2,E,Asia/Amman
King Island Airport,King Island,Australia,KNS,YKII,-39.87749863,143.878006,132,10,O,Australia/Melbourne
King Khaled International Airport,Riyadh,Saudi Arabia,RUH,OERK,24.95759964,46.69879913,2049,3,U,Asia/Riyadh
King Khaled Military City Airport,King Khalid Mil.city,Saudi Arabia,KMC,OEKK,27.9009,45.528198,1352,3,U,Asia/Riyadh
King Salmon Airport,King Salmon,United States,AKN,PAKN,58.67679977,-156.6490021,73,-9,A,America/Anchorage
King Shaka International Airport,Durban,South Africa,DUR,FALE,-29.61444444,31.11972222,295,2,U,Africa/Johannesburg
Kingfisher Lake Airport,Kingfisher Lake,Canada,KIF,CNM5,53.01250076,-89.8553009,866,-5,A,America/Toronto
Kingscote Airport,Kingscote,Australia,KGC,YKSC,-35.71390152,137.5209961,24,9.5,O,Australia/Adelaide
Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529984,-76.59690094,305,-5,A,America/Toronto
Kingsville Naval Air Station,Kingsville,United States,NQI,KNQI,27.50720024,-97.80970001,50,-6,A,America/Chicago
Kinmen Airport,Kinmen,Taiwan,KNH,RCBS,24.4279,118.359001,93,8,U,Asia/Taipei
Kirensk Airport,Kirensk,Russia,KCK,UIKK,57.773,108.064,840,8,N,Asia/Irkutsk
Kirkenes Airport (Høybuktmoen),Kirkenes,Norway,KKN,ENKR,69.72579956,29.8913002,283,1,E,Europe/Oslo
Kirksville Regional Airport,Kirksville,United States,IRK,KIRK,40.09349823,-92.54489899,966,-6,A,America/Chicago
Kirkuk Air Base,Kirkuk,Iraq,KIK,ORKK,35.4695015,44.34889984,1061,3,N,Asia/Baghdad
Kirkwall Airport,Kirkwall,United Kingdom,KOI,EGPA,58.95780182,-2.904999971,50,0,E,Europe/London
Kirovsk-Apatity Airport,Apatity,Russia,KVK,ULMK,67.46330261,33.5882988,515,3,N,Europe/Moscow
Kiruna Airport,Kiruna,Sweden,KRN,ESNQ,67.8219986,20.33679962,1508,1,E,Europe/Stockholm
Kisarazu Airport,Kisarazu,Japan,\N,RJTK,35.39830017,139.9100037,10,9,U,Asia/Tokyo
Kish International Airport,Kish Island,Iran,KIH,OIBK,26.52619934,53.98020172,101,3.5,E,Asia/Tehran
Kisimayu Airport,Kismayu,Somalia,KMU,HCMK,-0.3773530126,42.45920181,49,3,U,Africa/Mogadishu
Kisumu Airport,Kisumu,Kenya,KIS,HKKI,-0.08613900095,34.72890091,3734,3,U,Africa/Nairobi
Kitadaito Airport,Kitadaito,Japan,KTD,RORK,25.94470024,131.3269959,80,9,U,Asia/Tokyo
Kitakyūshū Airport,Kitakyushu,Japan,KKJ,RJFR,33.84590149,131.0350037,21,9,U,Asia/Tokyo
Kitale Airport,Kitale,Kenya,KTL,HKKT,0.971988976,34.95859909,6070,3,U,Africa/Nairobi
Kitee Airport,Kitee,Finland,KTQ,EFIT,62.1661,30.073601,364,2,E,Europe/Helsinki
Kithira Airport,Kithira,Greece,KIT,LGKC,36.27429962,23.0170002,1045,2,E,Europe/Athens
Kitona Base Airport,Kitona Base,Congo (Kinshasa),\N,FZAI,-5.918059826,12.44769955,394,1,N,Africa/Kinshasa
Kittilä Airport,Kittila,Finland,KTT,EFKT,67.7009964,24.84679985,644,2,E,Europe/Helsinki
Kiunga Airport,Kiunga,Papua New Guinea,UNG,AYKI,-6.125710011,141.2819977,88,10,U,Pacific/Port_Moresby
